,1,2,3,4,5,6,7,8
77,PTPN7,CLEC7A,LTBP1,COL4A1,CCL26,PODN,CLEC9A,RARRES1
78,RGS1,CCL3,MRVI1,KDR,TNFAIP6,MFAP2,LGALS1,S100A10
79,ZFAND2A,KYNU,CEBPB,S1PR1,TGFB3,GLT8D2,NAP1L1,CXCL14
80,ANKRD37,ITGB2,EDNRB,EDN1,EDNRA,SPARC,TGFBI,AOX1
81,PPP1R15A,FPR3,NMU,NOSTRIN,ANO1,PLAU,SFRP1,PLA2G2A
82,TRAT1,MS4A4A,FBXO32,FAM198B,NDUFA4L2,COL8A2,ANKRD22,MEG3
83,TNFRSF4,PLAUR,CPE,ADGRF5,DLC1,COL6A3,COL4A2-AS2,DPYSL3
84,CST7,FGL2,HSPB8,TIE1,OLFML2A,RP11-400N13.3,CBX5,FOXC2
85,TBC1D10C,CD86,IGFBP4,JAG2,MXRA5,LTBP2,PLEK,CFD
86,IER5,CCL18,NRIP2,TM4SF18,HIGD1B,CTGF,IMPA2,RAMP2
87,GADD45A,PLTP,EPAS1,ARHGAP29,NOTCH3,PDGFRA,CLEC5A,CLDN5
88,PDE3B,C5AR1,PDK4,TGM2,GJC1,SPOCK1,SNX10,CYR61
89,NFKB1,CTSH,LRRC4B,ADAMTS1,MCAM,FSTL1,MT2A,ANK2
90,AC133644.2,FAM26F,RASD1,MPZL2,ECM1,FBLN2,MGST1,FBLN1
91,WNK1,SNX10,MT1X,STC1,OLFML3,NNMT,GPC4,COLEC12
92,RYBP,FCGR2B,VCL,ADAMTS9,RBFOX2,GALNT1,PCBP2,MDK
93,TRGC2,TNFAIP2,RP11-834C11.4,APLNR,SEMA5A,EPYC,CSTB,HAS1
94,FAM177A1,NEAT1,KLF9,EFNA1,CERCAM,ITGB5,SAA1,CRABP2
95,TUBA1A,TGFBI,NRGN,KCTD12,GABRD,PLAT,XCR1,CHRDL2
96,JUNB,NUPR1,RGS16,SYNPO,NTM,FST,GBP1,BACE2
97,NR4A2,ATP6V1F,ENAH,MTUS1,VASN,CEMIP,LPCAT2,TFPI2
98,CCNI,NCEH1,GPX3,APOLD1,CHN1,GPX8,NRGN,PTGFRN
99,PTP4A2,FOLR2,CASQ2,CAV1,RCN3,LOX,MNDA,ALDH2
