,normalized_mutual_info,adjusted_rand_index,fowlkes_mallows
0.1,0.7651926426045631,0.6729756929977174,0.7293489924282583
0.2,0.7706679935720413,0.6871757766284566,0.7392784574671554
0.3,0.7618759042962898,0.6806276902093147,0.7325068860498091
0.4,0.7580096853413797,0.6813490154716263,0.732790956744979
0.5,0.7590180960633226,0.6832822373138825,0.7339918910681555
0.6,0.7583969415751285,0.6827619602875131,0.7336436028933062
0.7,0.7080318282645499,0.588352649801965,0.6513476224126721
0.7999999999999999,0.6781653753043582,0.500229366938788,0.5782916529700121
0.8999999999999999,0.6971325481674983,0.5621751874715822,0.628670206881955
0.9999999999999999,0.6762052487721688,0.48335916427729586,0.5636379115629752
1.0999999999999999,0.654265556179004,0.43451079493142464,0.5253614699411785
1.2,0.6531505324052426,0.42457807617484666,0.5189576425988933
1.3,0.6411981823482696,0.4150864971400746,0.5127599545254972
1.4,0.6327888117677566,0.3860934190585601,0.48891082633446975
1.5,0.6363672766424403,0.40050769085972443,0.5010468896375057
1.5999999999999999,0.6218825607286582,0.3568620667618537,0.4650337075254461
1.7,0.6227344634987474,0.3592279171695754,0.4672247487088292
1.8,0.6152960678234544,0.34353888922997605,0.4546613516276061
1.9,0.6214337277031837,0.3525259637464135,0.46202881545132374
2.0,0.6091946825029233,0.3276572734995056,0.4410366024980512
