,normalized_mutual_info,adjusted_rand_index,fowlkes_mallows
0.1,0.7023789236928206,0.461500517785858,0.630822256741334
0.2,0.7340708333565378,0.5803460453957622,0.6670780225741849
0.3,0.7488414774352803,0.6158478263285991,0.690565623659728
0.4,0.7365632278907898,0.6354786200697088,0.6924425372663684
0.5,0.7372571115801201,0.637471405755863,0.693928471134167
0.6,0.7367182213850548,0.6379983958453661,0.6942897175588448
0.7,0.7372744760935471,0.6393100660291632,0.6952659173392064
0.7999999999999999,0.7220300907207984,0.6217088971715043,0.6791912493462992
0.8999999999999999,0.6945100855028884,0.5638880906479908,0.629749682493215
0.9999999999999999,0.6865960573061106,0.5530642503724573,0.6214998863147051
1.0999999999999999,0.6785548671116244,0.5299045409105477,0.6024754579309557
1.2,0.6709661367415192,0.5097968732324397,0.5857050206383349
1.3,0.6743255281874581,0.5237973375125621,0.5977009847337197
1.4,0.6661700067091837,0.5039035123984696,0.58114404449511
1.5,0.659659185354536,0.4893468670064338,0.5697436329134475
1.5999999999999999,0.647002735053071,0.43595815408384464,0.527029229291538
1.7,0.6445370373701752,0.4428680472859021,0.5333229410391371
1.8,0.6292255563798153,0.38699259473919556,0.4859477109666825
1.9,0.6173495857095774,0.36653502965500745,0.47081326470706497
2.0,0.6140201517469773,0.3574719064615214,0.46311885373444706
