,normalized_mutual_info,adjusted_rand_index,fowlkes_mallows
0.1,0.7350208116910321,0.5758165874998933,0.6738134433656147
0.2,0.7518622784367812,0.62626872382478,0.7027886611156361
0.3,0.761620885067125,0.6780988791178304,0.7309093580737468
0.4,0.7460652367564691,0.6558612571097495,0.7099185799496054
0.5,0.74491178794805,0.654693003411102,0.7089439269775165
0.6,0.7285905208882169,0.6272084550318404,0.683950852128548
0.7,0.7255459248351126,0.6198662971147424,0.6775939557027854
0.7999999999999999,0.7246387233309982,0.6198375208248368,0.677587071330427
0.8999999999999999,0.6898939479796071,0.5370954472495557,0.6073825547959314
0.9999999999999999,0.6696402277417347,0.466796097653623,0.5488640009613214
1.0999999999999999,0.6690400595824367,0.47966405440901205,0.5593027514271465
1.2,0.6439514408897811,0.4293178873368772,0.5213185711028315
1.3,0.6351186242814575,0.40357393944969217,0.5003295280565544
1.4,0.6220305686626362,0.3770847624938092,0.4783095396497343
1.5,0.6019200926729155,0.31643121616758474,0.43042496515279477
1.5999999999999999,0.595564670372649,0.31359050299047564,0.42832280827587593
1.7,0.5896141518309475,0.2990015198994856,0.41562067979236794
1.8,0.5920461947896607,0.294071554629142,0.41165259675279187
1.9,0.5877807877752137,0.28889438528655065,0.40721224336391265
2.0,0.5791274151695008,0.26656752809169276,0.3870345387895616
