Dataset,Name,Size,Num_Cells,Num_Genes,Num_Regions,Runtime_Seconds,Peak_RAM_MB,Peak_GPU_Memory_MB
RNA_ADT,Hao,10000,10000,20729,0,152.46258779000004,60.010470390319824,498.53125
RNA_ADT,Hao,20000,20000,20729,0,301.80506707199993,119.90815830230713,549.90087890625
RNA_ADT,Hao,40000,40000,20729,0,642.133390544,240.51697731018066,601.228515625
RNA_ADT,Hao,80000,80000,20729,0,1237.4633203100002,481.623740196228,652.47216796875
RNA_ATAC,BMMC,10000,10000,11849,65811,269.90707788200007,334.9891242980957,1544.31494140625
RNA_ATAC,BMMC,20000,20000,11851,65540,501.3850456839996,668.3933458328247,1697.86962890625
RNA_ATAC,BMMC,40000,40000,11818,65358,1025.636371568,1331.771695137024,1854.265625
RNA_ATAC_ADT,TEA-seq,10000,10000,9887,39427,275.3832111619995,125.18396949768066,1553.6455078125
RNA_ATAC_ADT,TEA-seq,20000,20000,9847,38972,506.3904827410006,248.0221300125122,1651.08349609375
