,1,2,3,4,5,6,7
29,LAT,ZFAND2A,ADGRF5,IL18,NTM,CSTB,CENPA
30,COTL1,FAM53C,NOTCH3,KYNU,COMP,SPP1,CENPF
31,SAMSN1,NEAT1,DKK3,OLR1,SFRP4,PODNL1,HIST1H1D
32,ATP6V1F,SLC2A3,NR2F2,PLAUR,FNDC1,PLAUR,NUSAP1
33,MZB1,CEBPB,MT1E,CPVL,C3,CD63,CCNB2
34,HCST,TNFSF9,NDUFA4L2,CTSB,POSTN,C5orf46,PLK1
35,GALM,ANKRD37,IGLC2,FPR3,LRRC15,APCDD1L,PCNA
36,FYB,BAG3,OSMR,CD163,TIMP3,FAM198B,FEN1
37,CCND2,DNAJB4,THY1,HLA-DPB1,THBS2,FN1,CDC20
38,APOBEC3G,MIDN,PDLIM1,SOD2,PDPN,CLIC4,HIST1H1B
39,CAPG,DDIT3,TINAGL1,BASP1,RARRES2,MFAP5,PBK
40,ZBED2,NFKB1,PTK2,ALDH2,GXYLT2,COL4A2-AS2,PTTG1
41,PTP4A2,ZFP36L2,TIMP1,CD14,CNTN1,PLXDC2,AURKB
42,SLAMF1,IER5L,A2M,HLA-DPA1,CLMP,CTHRC1,CCNA2
43,ACP5,NFKBIZ,PLXDC1,NCF2,COL6A3,TGFBI,CKS1B
44,PTTG1,CD55,CSRP2,CTSD,COL8A1,NTM,DIAPH3
45,ICOS,CCR7,PGF,TNFAIP2,AEBP1,KLF4,H2AFZ
46,LTB,TOB2,COL4A2,CD74,PCDH7,NUPR1,MND1
47,CD177,MYLIP,ACKR3,GSN,ITGA11,HIST1H1B,NDC80
48,RGS1,TUBA4A,NNMT,VSIG4,ANTXR1,BCAT1,CENPW
49,TNFRSF9,RUNX3,VWA1,MS4A4A,MXRA5,APLP2,MAD2L1
50,IGLC2,TUBB2A,SERPINF1,FGL2,RP11-429E11.2,TNFAIP6,GGH
51,ALOX5AP,ARL5B,ADAMTS4,CAPG,LGALS1,ITGB5,CDCA3
52,CTSB,GLA,VASN,THBD,CDH11,HIST1H1C,NCAPH
53,FTL,BHLHE40,LHFP,CXCL16,C1QTNF3,OGN,MCM7
54,PIK3IP1,GEM,IGHG4,NEAT1,SULF1,BASP1,CDC45
55,CD164,HSPA5,CRISPLD2,FN1,COL8A2,PSAP,DEPDC1
56,CD63,SPTY2D1,ID4,FAM26F,ITGB5,COL1A2,DEK
57,TBC1D10C,DUSP8,RGS5,FCGR3A,NUPR1,INHBA,CENPM
58,CST7,SLC38A2,MT2A,TREM2,FST,CHI3L1,RNASEH2A
59,CD96,NFATC1,CAP2,TLR2,COL6A2,DCN,CCNB1
60,FDX1,MAFF,BGN,SLC7A7,RGS4,IFI27,SHCBP1
61,TRAF3IP3,PRMT9,SEMA5B,CCL3L3,GJB2,GSN,CDKN3
62,IGHG1,POLR2A,TIMP3,SPP1,MXRA8,AQP9,HIST1H1C
63,LAG3,CNOT6L,MAP3K7CL,PTAFR,EMILIN1,HTRA3,PHGDH
64,PPP1R2,RYBP,MAP1B,G0S2,FAP,COL6A3,CENPE
65,FKBP1A,IFNG,FOXC2,RASSF4,GRP,TXN,CD1B
66,PTPN22,CXCR4,COL6A1,PILRA,WNT2,IGHG3,SPC25
67,HPGD,YWHAZ,GGT5,CSF1R,PALLD,GTSE1,COTL1
68,LGALS1,UAP1,FILIP1L,NRP2,CD63,NRP2,NUCB2
69,HAVCR2,CCDC64,ECM2,ANPEP,SDC1,SCARB2,KIF2C
70,CYTIP,VPS37B,FRZB,CTSL,MEG3,SERPINE1,GINS2
71,CD4,ARL4C,GNG11,NR4A2,KIAA1217,NOX4,CBX5
72,ISG20,SAMSN1,TPPP3,IGSF6,THY1,DERL3,TUBA1C
73,ATP6V0B,CLK1,EMILIN1,PLEK,PLAU,PLPP4,PLCXD3
74,SH2D1A,GADD45A,ID3,MMP19,COL5A1,HEXB,NMU
75,LY6E,XCL1,C1R,LGMN,PLXDC2,CA9,KIF20A
76,ATP6AP1,BCL2A1,ANGPT2,TFEC,SERPINF1,SPHK1,CCL7
77,GCHFR,ERF,CHN1,FBP1,TMEM176B,MYBL2,LCP1
78,TCIRG1,KCNQ1OT1,MT1X,CCL13,SCT,S100A10,MT2A
79,CHIT1,PMEPA1,PLN,MARCO,ISLR,SFRP2,C6orf15
80,AC092580.4,DUSP4,CCL2,MNDA,GPNMB,GOLM1,NAP1L1
81,NAB1,SLC25A33,KCNE4,LINC01272,C1R,MMP11,HLA-DRB1
82,EMB,ZEB2,UBD,FCGR1A,RND3,STEAP1,C5orf46
83,IGHG3,MYC,HES1,CLEC7A,CYR61,SLC12A8,LY6D
84,IQGAP2,XCL2,C1S,C15orf48,PDGFRL,CLEC5A,MTHFD1L
85,BCAP31,TRAF4,EPAS1,PHACTR1,VCAN,TIMP3,IMPA2
86,DOK2,KLF10,RBPMS,HLA-DMA,MMP11,KDELR3,AURKA
87,CIR1,RRAD,CNN3,IL1B,VGLL3,PDLIM4,C12orf75
88,IL2RA,PCNXL4,FOXS1,ALDH1A1,PRSS23,FGF1,KCNJ2
89,MIR4435-2HG,CYTIP,UACA,TGFBI,EFEMP2,LGMN,UBL7-AS1
90,BST2,H2AFZ,LTBP1,FCGR2B,DPYSL3,CENPW,FABP5
91,PTPN7,N4BP2L1,KLHL23,FOLR2,PDGFRA,PLK1,HLA-DPA1
92,TRAT1,TNF,PDGFRB,ALOX5,PODNL1,DST,TUBA4A
93,PAG1,KLHL21,COL3A1,CTSH,EPYC,VKORC1,HLA-DRA
94,DUSP4,PTP4A1,MYC,HMOX1,C1S,HSD3B7,RGS16
95,TNFAIP8,MAT2A,BCAM,CSTA,COL6A1,DPT,PRDX1
96,RCAN3,KLHL24,EBF1,INHBA,PRELP,TRIML2,PCBP2
97,CXCL13,BRD4,RERGL,SLAMF8,GLIS2,EMILIN1,HIST1H2BG
98,FBXO32,RB1CC1,JAG1,S100A9,IGFBP6,RARRES1,TXN
99,IGLV1-40,PDE4C,CYR61,EPB41L3,LOXL1,TIMP1,PCBP1
