"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","REACTOME_EUKARYOTIC_TRANSLATION_INITIATION","5.27294823817817e-39","5.72114883842332e-37","1.62807167569582","-0.903833387683705","-3.50042248356669","83","c(""Rps16"", ""Rpl32"", ""Rps3a1"", ""Rpl28"", ""Rpl27a"", ""Rpl23"", ""Rps20"", ""Rps23"", ""Rpl11"", ""Rps14"", ""Rpl26"", ""Rpl18a"", ""Rps10"", ""Rps8"", ""Rpl21"", ""Rpl19"", ""Rplp1"", ""Rps19"", ""Rpl18"", ""Rps18"", ""Rplp0"", ""Rpl8"", ""Rplp2"", ""Rpsa"", ""Rpl35"", ""Rps4x"", ""Rpl13"", ""Rpl17"", ""Rps5"", ""Rpl22"", ""Rps3"", ""Rps26"", ""Rps7"", ""Rpl5"", ""Rpl6"", ""Rps6"", ""Rpl36"", ""Rpl3"", ""Rpl9"", ""Rps27a"", ""Rps12"", ""Rpl4"", ""Rpl14"", ""Rps25"", ""Rps2"", ""Rpl39"", ""Rpl29"", ""Rpl36a"", ""Rpl10"", ""Rpl7a"", ""Rpl15"", ""Rps17"", ""Rps15"", ""Rpl22l1"", ""Rps28"", ""Rpl37"", ""Rpl31"", 
""Rpl36al"", ""Rpl23a"", ""Eif4a1"", ""Rpl38"", ""Rps27l"", ""Pabpc1"", ""Eif3i"")"
"2","REACTOME_NONSENSE_MEDIATED_DECAY_NMD_INDEPENDENT_OF_THE_EXON_JUNCTION_COMPLEX_EJC","1.18968094798114e-54","2.58160765711907e-52","1.93065550845217","-0.96866007295862","-3.35915748354713","67","c(""Rps16"", ""Rpl32"", ""Rps3a1"", ""Rpl28"", ""Rpl27a"", ""Rpl23"", ""Rps20"", ""Rps23"", ""Rpl11"", ""Rps14"", ""Rpl26"", ""Rpl18a"", ""Rps10"", ""Rps8"", ""Rpl21"", ""Rpl19"", ""Rplp1"", ""Rps19"", ""Rpl18"", ""Rps18"", ""Rplp0"", ""Rpl8"", ""Rplp2"", ""Rpsa"", ""Rpl35"", ""Rps4x"", ""Rpl13"", ""Rpl17"", ""Rps5"", ""Rpl22"", ""Rps3"", ""Rps26"", ""Rps7"", ""Rpl5"", ""Rpl6"", ""Rps6"", ""Rpl36"", ""Rpl3"", ""Rpl9"", ""Rps27a"", ""Rps12"", ""Rpl4"", ""Rpl14"", ""Rps25"", ""Rps2"", ""Rpl39"", ""Rpl29"", ""Rpl36a"", ""Rpl10"", ""Rpl7a"", ""Rpl15"", ""Rps17"", ""Rps15"", ""Rpl22l1"", ""Rps28"", ""Rpl37"", ""Rpl31"", 
""Rpl36al"", ""Rpl23a"", ""Rpl38"", ""Rps27l"", ""Pabpc1"")"
"3","REACTOME_NONSENSE_MEDIATED_DECAY_NMD","1.90996421608827e-48","2.76308156594103e-46","1.81454230543492","-0.952688609497278","-3.3559242144302","71","c(""Rps16"", ""Rpl32"", ""Rps3a1"", ""Rpl28"", ""Rpl27a"", ""Rpl23"", ""Rps20"", ""Rps23"", ""Rpl11"", ""Rps14"", ""Rpl26"", ""Rpl18a"", ""Rps10"", ""Rps8"", ""Rpl21"", ""Rpl19"", ""Rplp1"", ""Rps19"", ""Rpl18"", ""Rps18"", ""Rplp0"", ""Rpl8"", ""Rplp2"", ""Rpsa"", ""Rpl35"", ""Rps4x"", ""Rpl13"", ""Rpl17"", ""Rps5"", ""Rpl22"", ""Rps3"", ""Rps26"", ""Rps7"", ""Rpl5"", ""Rpl6"", ""Rps6"", ""Rpl36"", ""Rpl3"", ""Rpl9"", ""Rps27a"", ""Rps12"", ""Rpl4"", ""Rpl14"", ""Rps25"", ""Rps2"", ""Rpl39"", ""Rpl29"", ""Rpl36a"", ""Rpl10"", ""Rpl7a"", ""Rpl15"", ""Rps17"", ""Rps15"", ""Rpl22l1"", ""Rps28"", ""Rpl37"", ""Rpl31"", 
""Rpl36al"", ""Rpl23a"", ""Rpl38"", ""Rps27l"", ""Pabpc1"")"
"4","WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS","4.82475941863372e-73","2.09394558768704e-70","2.23396856245701","-0.993292562635628","-3.32320144054928","56","c(""Rps16"", ""Rpl32"", ""Rps3a1"", ""Rpl28"", ""Rpl27a"", ""Rps20"", ""Rps23"", ""Rpl11"", ""Rps14"", ""Rpl26"", ""Rpl18a"", ""Rps10"", ""Rps8"", ""Rpl21"", ""Rpl19"", ""Rplp1"", ""Rps19"", ""Rpl10a"", ""Rpl18"", ""Rps18"", ""Rplp0"", ""Rpl8"", ""Rpsa"", ""Rpl35"", ""Rps4x"", ""Rpl13"", ""Rpl17"", ""Rps5"", ""Rpl22"", ""Rps3"", ""Rps26"", ""Rps7"", ""Rpl6"", ""Rps6"", ""Rpl36"", ""Rpl3"", ""Rpl9"", ""Rpl41"", ""Rps27a"", ""Rps12"", ""Rpl4"", ""Rps25"", ""Rps2"", ""Rpl39"", ""Rpl29"", ""Rpl36a"", ""Rpl10"", ""Rpl7a"", ""Rpl15"", ""Rps17"", ""Rps15"", ""Rps28"", ""Rpl37"", ""Rpl31"", ""Rpl23a"", ""Rpl38"")"
"5","REACTOME_MRNA_SPLICING","1.2359204730145e-14","7.66270693268989e-13","0.986546283587582","-0.693230767100575","-2.69747554591332","96","c(""Hnrnpa1"", ""Snrpe"", ""Snrpg"", ""Hspa8"", ""Snrpf"", ""Hnrnpa3"", ""Ybx1"", ""Snrpd2"", ""Srsf3"", ""Lsm4"", ""Ddx39b"", ""Snrpd3"", ""Hnrnpa2b1"", ""Pnn"", ""Srsf10"", ""Alyref"", ""Snrpd1"", ""Lsm5"", ""Snrpb"", ""U2af1"", ""Srsf7"", ""Hnrnpu"", ""Hnrnpr"", ""Srsf2"", ""Hnrnpd"", ""Lsm2"", ""Ptbp1"", ""Lsm6"", ""Bcas2"", ""Snrpa"", ""Lsm3"", ""Lsm7"", ""Eif4a3"", ""Polr2f"", ""Rbm17"", ""Polr2e"", ""Snrpa1"", ""Srsf9"", ""Sf3a3"", ""Polr2h"", ""Txnl4a"", ""Hnrnpc"", ""Magoh"", ""Rnps1"", ""Snrnp40"", ""Rbm8a"", ""Phf5a"", ""Snrpb2"", ""Dhx9"", ""U2surp"", ""U2af2"", ""Polr2k"", ""Prpf40a"", ""Ppih"", 
""Srrm1"", ""Pcbp1"", ""Polr2d"", ""Htatsf1"", ""Sf3b3"", ""Eftud2"", ""Sf3b4"", ""Srsf1"", ""Polr2i"", ""Ddx46"", ""Prpf31"", ""Tcerg1"", ""Snrpc"", ""Sf3a1"", ""Snrnp25"", ""Ppil1"", ""Sf3b5"", ""Smu1"", ""Prpf19"", ""Isy1"", ""Srrt"")"
"6","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S","7.50363265375424e-14","4.07072071466168e-12","0.954541630725724","-0.843253222174446","-2.62119609694902","41","c(""Rps16"", ""Rps3a1"", ""Rps20"", ""Rps23"", ""Rps14"", ""Rps10"", ""Rps8"", ""Rps19"", ""Rps18"", ""Rpsa"", ""Rps4x"", ""Rps5"", ""Rps3"", ""Rps26"", ""Rps7"", ""Rps6"", ""Rps27a"", ""Rps12"", ""Rps25"", ""Rps2"", ""Rps17"", ""Rps15"", ""Rps28"", ""Eif4a1"", ""Rps27l"", ""Pabpc1"", ""Eif3i"", ""Eif2s2"", ""Eif3a"", ""Eif3l"", ""Eif1ax"", ""Eif2s1"", ""Eif4h"")"
"7","WP_ELECTRON_TRANSPORT_CHAIN","1.1972370698017e-06","3.99692990995336e-05","0.643551836150722","-0.728111444809262","-2.26549130434965","37","c(""mt-Nd1"", ""Slc25a5"", ""Cox7b"", ""Cox5b"", ""Ndufab1"", ""Ndufc2"", ""Ndufv2"", ""Uqcr10"", ""Ndufa12"", ""Ndufa10"", ""Uqcr11"", ""Ndufa5"", ""Ndufb2"", ""Uqcrq"", ""Ndufc1"", ""Sdhb"", ""Cox7a2"", ""Cox5a"", ""Ndufb4"", ""Ndufb10"", ""Uqcrfs1"", ""Ndufs6"", ""Ndufs8"", ""Ndufa9"", ""Ndufv1"", ""Cox8a"", ""Sdhc"", ""Ndufb6"")"
"8","REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT","1.13687721779983e-06","3.99692990995336e-05","0.643551836150722","-0.595986945064875","-2.24743201595225","80","c(""Rps27a"", ""mt-Nd1"", ""Cox7c"", ""Ndufa4"", ""Mdh1"", ""Cox7b"", ""Cox5b"", ""Ndufab1"", ""Ndufc2"", ""Ndufv2"", ""Uqcr10"", ""Ndufa12"", ""Ndufa10"", ""Ndufa5"", ""Ndufb2"", ""Uqcrq"", ""Idh2"", ""Higd1a"", ""Cycs"", ""Ubb"", ""Ndufc1"", ""Glo1"", ""Sdhb"", ""Cox7a2"", ""Mrps36"", ""Cox5a"", ""Ndufb4"", ""Cyc1"", ""Ndufb10"", ""Vdac1"", ""Uqcrfs1"", ""Ndufs6"", ""Idh3a"", ""Fh1"", ""Idh3g"", ""Hspa9"", ""Ndufs8"", ""Ndufa9"", ""Ndufv1"", ""Trap1"", ""Cox8a"", ""Fxn"", ""Aco2"", ""Sdhc"", ""Ndufb6"", ""Ndufaf4"", ""Uqcrb"", ""Cox6a1"", ""Mdh2"", ""Ndufaf2"")"
"9","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT","4.08022001092137e-07","1.96757276082208e-05","0.674962860011025","-0.68073906567758","-2.20457752168654","53","c(""mt-Nd1"", ""Cox7c"", ""Ndufa4"", ""Mdh1"", ""Cox7b"", ""Cox5b"", ""Ndufab1"", ""Ndufc2"", ""Ndufv2"", ""Uqcr10"", ""Ndufa12"", ""Ndufa10"", ""Ndufa5"", ""Ndufb2"", ""Uqcrq"", ""Higd1a"", ""Cycs"", ""Ndufc1"", ""Cox7a2"", ""Cox5a"", ""Ndufb4"", ""Cyc1"", ""Ndufb10"", ""Uqcrfs1"", ""Ndufs6"", ""Hspa9"", ""Ndufs8"", ""Ndufa9"", ""Ndufv1"", ""Cox8a"", ""Fxn"", ""Ndufb6"", ""Ndufaf4"", ""Uqcrb"", ""Cox6a1"", ""Mdh2"", ""Ndufaf2"")"
"10","REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX","6.14167627499353e-07","2.53007281617848e-05","0.659444398037935","-0.655723995707319","-2.19381782277238","56","c(""Rps27a"", ""Psma4"", ""Psma2"", ""Ube2s"", ""Psmb3"", ""Psma6"", ""Psma3"", ""Anapc5"", ""Psma5"", ""Psmc4"", ""Ubb"", ""Psmd7"", ""Psmc5"", ""Psmb4"", ""Psma7"", ""Psmb6"", ""Mcm7"", ""Ube2e1"", ""Psmd12"", ""Psmd3"", ""Psme2"", ""Psmb7"", ""Anapc11"", ""Psmc6"", ""Mcm3"", ""Mcm2"", ""Mcm6"", ""Psmb5"", ""Mcm5"", ""Gmnn"", ""Psmb2"", ""Orc6"", ""Psmc3"", ""Psmd1"", ""Mcm4"", ""Psmc2"", ""Psmd13"", ""Cdc16"", ""Kpnb1"", ""Psmd14"")"
