,normalized_mutual_info,adjusted_rand_index,fowlkes_mallows
0.1,0.545003744268062,0.26700711693024215,0.4452078284866018
0.2,0.6095005314253361,0.34789850902592157,0.48403446608041595
0.3,0.6496579302474,0.4234408026452602,0.5309656902626297
0.4,0.6586404180054751,0.46742434409229294,0.5334450072793884
0.5,0.6715528463494848,0.49746886907905885,0.5521634512881073
0.6,0.6695020631871101,0.49684606227663125,0.5495462267257686
0.7,0.6657934724010548,0.5034311103038922,0.5528898800449834
0.8999999999999999,0.6731706695409785,0.5177330935267971,0.5612899773981213
0.7999999999999999,0.6772122800637822,0.5281163774789371,0.5707629051308227
0.9999999999999999,0.6698630641181719,0.5235533889578474,0.5633279620953898
1.0999999999999999,0.6662661049537699,0.5167229595425631,0.5525791556953887
1.2,0.663668363390123,0.5196814710068252,0.5548520607107871
1.3,0.6535735568719492,0.4926443178220725,0.5280260768681113
1.4,0.6490733938341304,0.4866284189418213,0.5231971458344055
1.5,0.6458429508250769,0.4852825229114741,0.5212816366316373
1.5999999999999999,0.654688347924954,0.5221350004367883,0.5555771718235867
1.7,0.6471965296386548,0.4801034623872271,0.5164630771017357
1.8,0.6448440156388022,0.47891338153434815,0.5158911597008007
1.9,0.6464231686821765,0.4853487602041295,0.5220297172660707
2.0,0.6387950362027327,0.4723207584299244,0.5104122729800319
