"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS","2.63938741435136e-05","0.00064105799402805","0.575610261071129","-0.605014499235428","-2.10214735311166","48","c(""ZFP36"", ""APOE"", ""ZFP36L2"", ""CNOT6L"", ""KCNQ1OT1"", ""HMOX1"", ""ZC3H12D"", ""IRS2"", ""SQSTM1"", ""ZFP36L1"", ""ZBTB20"", ""PIM2"", ""FOXO3"", ""SLC25A4"", ""TNF"", ""NEAT1"", ""BAG3"", ""APOC2"", ""RB1CC1"", ""TP53INP1"", ""TNRC6C"")"
"2","GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS","0.000908056891063311","0.0166826349345349","0.477270815362862","-0.625711569548854","-2.01730822831369","27","c(""ACP5"", ""IL7R"", ""PTPRC"", ""IL10"", ""LILRB4"", ""FCGR2B"", ""VSIG4"", ""TNF"", ""CD96"", ""CD55"", ""XCL1"", ""KLRD1"", ""IL4I1"")"
"3","GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS","0.000982621037034824","0.0178239993173532","0.45505986738723","-0.748935553326035","-2.00947651283749","16","c(""FOS"", ""KCNQ1OT1"", ""IL10"", ""KLF4"", ""JUN"", ""FOXO3"", ""TNF"", ""BMP2"", ""NEAT1"")"
"4","GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION","0.00064098133486822","0.0122470167048821","0.477270815362862","-0.734097899492298","-1.95780745593064","17","c(""JUND"", ""FOSB"", ""JUNB"", ""FOS"", ""LGMN"")"
"5","GOBP_MIRNA_METABOLIC_PROCESS","0.00179648733868998","0.0299344925156133","0.45505986738723","-0.677092079470169","-1.93553505886388","21","c(""FOS"", ""KCNQ1OT1"", ""IL10"", ""LILRB4"", ""KLF4"", ""JUN"", ""FOXO3"", ""TNF"", ""BMP2"", ""NEAT1"")"
"6","GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS","0.00179648733868998","0.0299344925156133","0.45505986738723","-0.677092079470169","-1.93553505886388","21","c(""FOS"", ""KCNQ1OT1"", ""IL10"", ""LILRB4"", ""KLF4"", ""JUN"", ""FOXO3"", ""TNF"", ""BMP2"", ""NEAT1"")"
"7","GOBP_INTERLEUKIN_8_PRODUCTION","0.00298668733953797","0.0480890219950328","0.431707695803346","-0.626689803586527","-1.90754402462738","25","c(""HSPA1A"", ""HSPA1B"", ""CD14"", ""PTPRC"", ""CD2"", ""IL10"", ""KLF4"", ""PTPN22"", ""TNF"")"
"8","GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR","3.604427769755e-05","0.000833087902267568","0.557332238758646","-0.514392949248446","-1.89628038168577","73","c(""ZFP36"", ""CCL3L3"", ""CEBPA"", ""CCL18"", ""ZFP36L2"", ""FOS"", ""HSPA1A"", ""HSPA1B"", ""CD14"", ""CCL13"", ""CXCL16"", ""TNFRSF18"", ""ZFP36L1"", ""TNFRSF4"", ""BIRC3"", ""CCL4"", ""PTGS2"", ""CLDN1"", ""NFATC1"", ""FOXO3"", ""TNF"", ""CCL20"", ""CCL5"", ""XCL1"", ""CXCL8"", ""CCL8"", ""XCL2"")"
"9","GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS","0.000258215071627324","0.00528603139488508","0.49849310876659","-0.461496977465408","-1.83903281012589","85","c(""ZFP36"", ""APOE"", ""ZFP36L2"", ""CNOT6L"", ""KCNQ1OT1"", ""HMOX1"", ""EIF4A3"", ""NUPR1"", ""ZC3H12D"", ""IRS2"", ""SQSTM1"", ""MYLIP"", ""IL10"", ""ZFP36L1"", ""ZBTB20"", ""PIM2"", ""FOXO3"", ""SLC25A4"", ""PTPN22"", ""TNF"", ""NEAT1"", ""PSAP"", ""BAG3"", ""WNK1"", ""APOC2"", ""ERN1"", ""HGF"", ""RB1CC1"")"
"10","GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY","0.00148660252284549","0.0253607311337807","0.45505986738723","-0.406629227962008","-1.62178970246801","93","c(""C3AR1"", ""HSPA1A"", ""C5AR1"", ""HSPA1B"", ""CD14"", ""PTPRC"", ""TRBC1"", ""LILRB4"", ""TRBC2"", ""FCGR2B"", ""TRGC2"", ""TRAC"", ""CD3D"", ""EZR"", ""BIRC3"", ""CD3E"", ""TRAT1"", ""NFKBIZ"", ""LILRB2"", ""CTSS"", ""PTPN22"", ""TNF"", ""KLRD1"", ""LAT"", ""WNK1"", ""FCGR3A"", ""FPR3"", ""CCR7"", ""TRDC"", ""BMX"", ""NFATC2"", ""CLEC4E"", ""LIPA"", ""NLRP3"")"
