Dataset,NMI,ARI,FMI,ASW-Batch,Graph Connectivity
Brain-ISSAAC,0.0040871787681456785,0.011543538811949115,0.007095153456065425,,0.00434447360803445
Stephenson,0.007161510313384932,0.014038861750575657,0.012669676031200092,0.003973125973737528,0.007117834596856006
TEA-3D,0.010547762278523512,0.02354570189906706,0.019044868553911354,0.003428255182719025,0.0025724053738518083
