Dataset,NMI,ARI,FMI,ASW-Batch,Graph Connectivity
Brain-ISSAAC,0.5623242659732568,0.38096834090681225,0.4503239231124507,,0.9624428342442217
Stephenson,0.6697712335163992,0.5102463240523836,0.5547855570185993,0.885976809,0.7807691406989496
TEA-3D,0.6692978672199004,0.4725976613386864,0.557128135011153,0.9543470020000001,0.9186003622500867
