"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_GRANULOCYTE_ACTIVATION","1.29987006871285e-05","0.0011388867389926","0.593325476396405","-0.720096933428745","-2.35081848004583","19","c(""ITGB2"", ""TYROBP"", ""FCER1G"", ""CCL3"", ""CXCL8"", ""CCL5"", ""CD177"", ""TNF"")"
"2","GOBP_TYPE_II_INTERFERON_PRODUCTION","1.5608883420463e-05","0.00124003907173678","0.575610261071129","-0.649368169946041","-2.27606418609316","27","c(""PTPN22"", ""CD2"", ""CD96"", ""HAVCR2"", ""CLEC7A"", ""TNF"", ""SLAMF1"", ""CCR7"", ""IL21"", ""CD3E"", ""EBI3"", ""INHBA"", ""CD14"", ""IL1B"", ""IL10"", ""IL18"")"
"3","GOBP_ALPHA_BETA_T_CELL_ACTIVATION","7.31279336494758e-06","0.000804407270144234","0.610526878385931","-0.572241906412141","-2.23953241510006","37","c(""PTPRC"", ""PTPN22"", ""RUNX3"", ""TRAC"", ""DOCK2"", ""TRBC2"", ""TRBC1"", ""CD3D"", ""IL2RA"", ""IFNG"", ""CD55"", ""CD86"", ""NLRP3"", ""NKG7"", ""NFKBIZ"", ""IL21"", ""CD3E"", ""EBI3"", ""CD300A"")"
"4","GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION","0.000137208564872","0.00521824606385578","0.518848077743792","-0.730864104015411","-2.23376929016843","15","c(""PTPRC"", ""PTPN22"", ""RUNX3"", ""IFNG"", ""CD55"", ""CD86"", ""NLRP3"", ""NFKBIZ"", ""CD3E"", ""EBI3"")"
"5","GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","7.41468085171031e-08","1.51471337399225e-05","0.704975715167238","-0.536566361077857","-2.22239628205246","62","c(""PTPRC"", ""LCP1"", ""ITGB2"", ""CD74"", ""RAC2"", ""TYROBP"", ""FCER1G"", ""DOCK2"", ""HAVCR2"", ""CCL3"", ""LAT"", ""CD177"", ""TNF"", ""FGL2"", ""CD40LG"", ""PTK2B"", ""SLAMF1"", ""FCGR3A"", ""IFNG"", ""ITM2A"", ""CD86"", ""NLRP3"", ""NKG7"", ""NFKBIZ"", ""FCGR2B"", ""IL21"")"
"6","GOBP_REGULATION_OF_B_CELL_ACTIVATION","9.68499634838487e-06","0.000923302985212691","0.593325476396405","-0.597674592009627","-2.20616376280619","34","c(""PTPRC"", ""SAMSN1"", ""CD74"", ""TYROBP"", ""TBC1D10C"", ""IRS2"", ""SH3KBP1"", ""CD27"", ""IL4I1"", ""MNDA"", ""TNFRSF4"", ""THEMIS2"", ""FCGR2B"", ""IL21"", ""CD300A"", ""INHBA"", ""ZFP36L1"")"
"7","GOBP_TYPE_I_INTERFERON_PRODUCTION","0.000203832744217888","0.00633653965720826","0.518848077743792","-0.720534700919773","-2.2021991209755","15","c(""REL"", ""PTPN22"", ""TYROBP"", ""HMGB2"", ""TRAF3IP3"", ""HAVCR2"")"
"8","GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE","6.07049796244594e-05","0.0028936040287659","0.557332238758646","-0.588680334083348","-2.18760607977497","29","c(""ITGB2"", ""RAC2"", ""TYROBP"", ""FCER1G"", ""DOCK2"", ""HAVCR2"", ""CCL3"", ""LAT"", ""CD177"", ""TNF"", ""SLAMF1"", ""IFNG"")"
"9","GOBP_NATURAL_KILLER_CELL_ACTIVATION","0.000403285390637329","0.0101175106773927","0.49849310876659","-0.699600631341263","-2.18032803508577","16","c(""PTPRC"", ""PTPN22"", ""CD2"", ""TYROBP"", ""HAVCR2"", ""SLAMF1"", ""FCGR3A"", ""IL21R"", ""NKG7"")"
"10","GOBP_POSITIVE_REGULATION_OF_TYPE_II_INTERFERON_PRODUCTION","0.000275139186068612","0.00742356671845499","0.49849310876659","-0.67379675052713","-2.15714277113741","18","c(""PTPN22"", ""CD2"", ""HAVCR2"", ""CLEC7A"", ""TNF"", ""SLAMF1"", ""IL21"", ""CD3E"", ""EBI3"", ""CD14"", ""IL1B"", ""IL18"")"
