"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOBP_FAT_CELL_DIFFERENTIATION","5.04940108005813e-07","7.78813600563549e-05","0.659444398037935","-0.607788490031713","-2.29166519413178","59","c(""NR4A1"", ""NR4A2"", ""ZFP36"", ""KLF4"", ""ZFP36L1"", ""CEBPD"", ""CEBPB"", ""HES1"", ""DDIT3"", ""BMP2"", ""SAV1"", ""ADIRF"", ""JAG1"", ""IL6"", ""PTGS2"", ""ALOX5"", ""ID4"", ""PLAC8"", ""WWTR1"", ""ZFP36L2"", ""PLCB1"", ""TRIO"")"
"2","GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II","1.12061505853996e-10","8.16928377675631e-08","0.839088935621274","-0.502472073346803","-2.20058648870242","177","c(""FOSB"", ""NR4A1"", ""JUNB"", ""NR4A2"", ""FOS"", ""KDM6B"", ""KLF4"", ""MAFF"", ""SERTAD1"", ""JUN"", ""JUND"", ""MYC"", ""REL"", ""CSRNP1"", ""CEBPD"", ""CEBPB"", ""ETS2"", ""HES1"", ""KLF10"", ""DDIT3"", ""NFATC1"", ""FOXO3"", ""IER5"", ""NFKBIZ"", ""BMP2"", ""RHOQ"", ""ENG"", ""EPAS1"", ""IL1B"", ""ZFHX3"", ""ADIRF"", ""LMO4"", ""LMO2"", ""JAG1"", ""TFEC"", ""CD40"", ""IL6"", ""NFKB1"", ""CSRNP2"", ""SPIB"", ""NR2F2"", ""HGF"", ""ID4"", ""FOXC1"", ""PLAC8"", ""NLRP3"", ""WWTR1"", ""EGR4"", ""ZEB2"", ""NOTCH3"", ""NFIB"", ""MSX1"")"
"3","GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS","3.07366044842372e-11","4.48139693380178e-08","0.851339057116899","-0.469109893839599","-2.13951863841125","235","c(""FOSB"", ""NR4A1"", ""JUNB"", ""NR4A2"", ""ZFP36"", ""FOS"", ""KDM6B"", ""KLF4"", ""MAFF"", ""SERTAD1"", ""JUN"", ""ZFP36L1"", ""JUND"", ""MYC"", ""KCNQ1OT1"", ""REL"", ""NEAT1"", ""CSRNP1"", ""CEBPD"", ""CEBPB"", ""ETS2"", ""HES1"", ""KLF10"", ""PDLIM1"", ""DDIT3"", ""NFATC1"", ""FOXO3"", ""IER5"", ""NFKBIZ"", ""BMP2"", ""RHOQ"", ""COL1A1"", ""ENG"", ""EPAS1"", ""HSPA1A"", ""IL1B"", ""ZFHX3"", ""ADIRF"", ""LMO4"", ""POLR2A"", ""SLC38A2"", ""LMO2"", ""JAG1"", ""TFEC"", ""CD40"", ""IL6"", ""NFKB1"", ""RASL11A"", ""CSRNP2"", ""SPIB"", ""NR2F2"", ""INSR"", ""HGF"", ""ID4"", ""FOXC1"", ""PLAC8"", ""NLRP3"", ""WWTR1"", 
""ZFP36L2"", ""PLCB1"", ""EGR4"", ""CREB5"", ""JADE1"", ""ZEB2"", ""NOTCH3"", ""NFIB"", ""MSX1"")"
"4","GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS","2.35588860670705e-05","0.00149451996176369","0.575610261071129","-0.792318568760247","-2.09010458737293","16","c(""FOS"", ""KLF4"", ""JUN"", ""MYC"", ""KCNQ1OT1"", ""NEAT1"", ""FOXO3"", ""BMP2"", ""NFKB1"")"
"5","GOBP_CELLULAR_RESPONSE_TO_HEAT","2.86337717148738e-05","0.00154622367260319","0.575610261071129","-0.741675490582687","-2.05941231071462","19","c(""DNAJB1"", ""THBS1"", ""IER5"", ""HSPA1A"", ""BAG3"", ""HSPA1B"", ""TFEC"", ""PTGS2"", ""HSPA6"")"
"6","GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION","2.35761036492215e-05","0.00149451996176369","0.575610261071129","-0.622822853434997","-2.03010916828996","37","c(""ZFP36"", ""ZFP36L1"", ""CEBPB"", ""HES1"", ""DDIT3"", ""BMP2"", ""SAV1"", ""ADIRF"", ""JAG1"", ""IL6"", ""PTGS2"", ""ALOX5"", ""ID4"", ""WWTR1"", ""ZFP36L2"", ""TRIO"", ""ZNF385A"", ""FERMT2"", ""MEDAG"", ""GATA2"", ""TNF"", ""SNAI2"", ""SOD2"")"
"7","GOBP_MIRNA_METABOLIC_PROCESS","0.00027954323714917","0.00905720088363311","0.49849310876659","-0.707482604022709","-2.00812764666092","21","c(""FOS"", ""KLF4"", ""JUN"", ""MYC"", ""KCNQ1OT1"", ""NEAT1"", ""FOXO3"", ""BMP2"")"
"8","GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS","0.00027954323714917","0.00905720088363311","0.49849310876659","-0.707482604022709","-2.00812764666092","21","c(""FOS"", ""KLF4"", ""JUN"", ""MYC"", ""KCNQ1OT1"", ""NEAT1"", ""FOXO3"", ""BMP2"")"
"9","GOBP_RESPONSE_TO_MECHANICAL_STIMULUS","6.94854941223589e-05","0.00298629487362867","0.538434096309916","-0.577066810987483","-1.99800666985707","45","c(""FOSB"", ""FOS"", ""GSN"", ""THBS1"", ""TUBA1A"", ""COL1A1"", ""ENG"", ""IL1B"", ""SLC38A2"", ""BAG3"", ""CD40"", ""NFKB1"", ""PTK2"", ""PTGS2"", ""MMP2"", ""ANGPT2"", ""MAP1B"", ""AQP1"", ""POSTN"", ""JUP"")"
"10","GOBP_FOREBRAIN_DEVELOPMENT","9.05968150497924e-05","0.00366917100951659","0.538434096309916","-0.520229947366219","-1.95490186329832","64","c(""NR4A2"", ""KDM6B"", ""PHACTR1"", ""HES1"", ""DNAJB1"", ""TUBA1A"", ""TUBB2A"", ""NRP2"", ""TYROBP"", ""BMP2"", ""SLC38A2"", ""COL3A1"", ""NR2F2"", ""ID4"", ""PLCB1"", ""PCDH9"", ""AQP1"", ""NOTCH3"", ""NFIB"", ""MSX1"", ""CSF1R"", ""SSTR2"", ""ITGAM"", ""TACC1"", ""GATA2"", ""DLC1"", ""CXCL12"")"
"11","GOBP_VASCULATURE_DEVELOPMENT","2.20769174702322e-08","8.04703641789963e-06","0.73376198835648","-0.425964305793593","-1.94227511164524","238","c(""NR4A1"", ""JUNB"", ""KLF4"", ""ZFP36L1"", ""TIPARP"", ""HES1"", ""C5AR1"", ""THBS1"", ""TNFAIP2"", ""CYBB"", ""DDIT3"", ""NFATC1"", ""ID1"", ""COL1A2"", ""PECAM1"", ""NRP2"", ""CXCL8"", ""BMP2"", ""COL1A1"", ""ADAMTS1"", ""CALD1"", ""ENG"", ""CCL2"", ""PRCP"", ""EPAS1"", ""EFNB2"", ""MMP19"", ""IL1B"", ""SERPINE1"", ""SPARC"", ""JAG1"", ""COL4A1"", ""ITGA5"", ""ADM"", ""CD40"", ""CAV1"", ""IL6"", ""PTK2"", ""PTGS2"", ""SERPINF1"", ""COL18A1"", ""PLPP3"", ""COL3A1"", ""MCAM"", ""PGF"", ""NR2F2"", ""ALOX5"", ""MMP2"", ""FOXC1"", ""HSPG2"", ""ANGPT2"", ""ANPEP"", ""EREG"", ""COL4A2"", ""CALCRL"", ""AQP1"", 
""NOTCH3"", ""CLEC14A"", ""STAB1"", ""EGFL7"", ""PRRX1"", ""SPHK1"", ""APOE"", ""JUP"", ""TGFBR3"", ""ROBO4"", ""GATA2"", ""TGFBI"", ""PDGFB"", ""CD34"", ""PTPRM"", ""TJP1"", ""CYP1B1"", ""ADAMTS9"", ""SOX18"", ""ANGPTL4"", ""TNF"", ""SOD2"", ""FOXC2"", ""IL18"", ""NTRK2"", ""ACKR3"", ""PLXDC1"", ""ADGRA2"", ""TWIST1"", ""FGF1"", ""COL8A1"", ""NFATC2"", ""PDGFRB"", ""EDN1"", ""EFNA1"", ""EDNRA"", ""RAPGEF2"", ""RRAS"", ""RHOJ"", ""ACTA2"", ""ADGRF5"", ""CDH5"", ""PTPRB"", ""EPHA2"", ""FKBP10"", ""VSTM4"", ""TIE1"", ""IL10"", ""MMRN2"", ""CLDN5"", ""SMOC2"", ""PARVA"", ""FLT1"", ""GJA4"", ""S1PR1"", ""PDE2A"", 
""HEG1"", ""RAMP2"", ""ANGPT1"", ""HEY1"", ""NOTCH4"", ""CDH13"", ""PIK3C2A"", ""GPR4"", ""PROX1"", ""SOX17"", ""ANTXR1"")"
"12","GOBP_BLOOD_VESSEL_MORPHOGENESIS","1.56077886011633e-07","2.844519472562e-05","0.690132458796796","-0.428103507120724","-1.93785350673879","205","c(""NR4A1"", ""JUNB"", ""KLF4"", ""ZFP36L1"", ""TIPARP"", ""HES1"", ""C5AR1"", ""THBS1"", ""TNFAIP2"", ""CYBB"", ""ID1"", ""NRP2"", ""CXCL8"", ""ADAMTS1"", ""CALD1"", ""ENG"", ""CCL2"", ""PRCP"", ""EPAS1"", ""EFNB2"", ""MMP19"", ""IL1B"", ""SERPINE1"", ""SPARC"", ""JAG1"", ""COL4A1"", ""ITGA5"", ""ADM"", ""CD40"", ""CAV1"", ""IL6"", ""PTK2"", ""PTGS2"", ""SERPINF1"", ""COL18A1"", ""COL3A1"", ""MCAM"", ""PGF"", ""NR2F2"", ""ALOX5"", ""MMP2"", ""FOXC1"", ""HSPG2"", ""ANGPT2"", ""ANPEP"", ""EREG"", ""COL4A2"", ""CALCRL"", ""AQP1"", ""NOTCH3"", ""CLEC14A"", ""STAB1"", ""EGFL7"", ""PRRX1"", ""SPHK1"", ""APOE"", 
""JUP"", ""TGFBR3"", ""ROBO4"", ""GATA2"", ""TGFBI"", ""CD34"", ""PTPRM"", ""TJP1"", ""CYP1B1"", ""ADAMTS9"", ""SOX18"", ""ANGPTL4"", ""TNF"", ""FOXC2"", ""IL18"", ""NTRK2"", ""ACKR3"", ""PLXDC1"", ""ADGRA2"", ""TWIST1"", ""FGF1"", ""COL8A1"", ""PDGFRB"", ""EDN1"", ""EFNA1"", ""EDNRA"", ""RAPGEF2"", ""RRAS"", ""RHOJ"", ""ADGRF5"", ""CDH5"", ""PTPRB"", ""EPHA2"", ""FKBP10"", ""VSTM4"", ""TIE1"", ""IL10"", ""MMRN2"", ""CLDN5"", ""SMOC2"", ""PARVA"", ""FLT1"", ""S1PR1"", ""HEG1"", ""RAMP2"", ""ANGPT1"", ""HEY1"", ""NOTCH4"", ""CDH13"", ""PIK3C2A"", ""GPR4"", ""PROX1"", ""SOX17"")"
"13","GOBP_RESPONSE_TO_OXYGEN_LEVELS","6.96392494536177e-05","0.00298629487362867","0.538434096309916","-0.489931439035411","-1.92173895125911","77","c(""NR4A2"", ""FOS"", ""ZFP36L1"", ""MYC"", ""MALAT1"", ""PDLIM1"", ""THBS1"", ""CYBB"", ""BMP2"", ""COL1A1"", ""EPAS1"", ""VASN"", ""ADM"", ""CAV1"", ""PTGS2"", ""PGF"", ""SOD3"", ""MMP2"", ""HSPG2"", ""ANGPT2"", ""ZEB2"", ""AQP1"", ""POSTN"", ""KCNMA1"", ""TGFBR3"", ""CRYAB"", ""CXCL12"", ""STC1"", ""ANGPTL4"", ""TNF"", ""SOD2"", ""EGLN3"", ""TWIST1"", ""PLOD2"", ""EDN1"", ""EDNRA"")"
"14","GOBP_ENDOTHELIAL_CELL_MIGRATION","6.50192511070637e-05","0.00296243962856559","0.538434096309916","-0.48979298339547","-1.91543502603802","79","c(""NR4A1"", ""KLF4"", ""THBS1"", ""ID1"", ""NRP2"", ""PRCP"", ""EFNB2"", ""SPARC"", ""LGMN"", ""CD40"", ""PTK2"", ""PTGS2"", ""SERPINF1"", ""PLPP3"", ""NR2F2"", ""ANGPT2"", ""ZEB2"", ""CLEC14A"", ""APOE"", ""JUP"", ""GATA2"", ""PDGFB"", ""PTPRM"", ""FSTL1"", ""CYP1B1"", ""ADAMTS9"", ""SOX18"", ""STC1"", ""PTP4A3"", ""TNF"", ""SNAI2"", ""FOXC2"", ""S100A9"", ""ADGRA2"", ""FGF1"", ""EDN1"", ""EFNA1"", ""RRAS"", ""RHOJ"", ""CDH5"", ""EPHA2"", ""VSTM4"", ""MMRN2"", ""SMOC2"", ""ANGPT1"", ""S100A12"", ""CDH13"", ""PIK3C2A"", ""PROX1"")"
"15","GOBP_RESPONSE_TO_HEAT","0.000293878787772204","0.00914178402531887","0.49849310876659","-0.648905839949453","-1.90631479585413","25","c(""DNAJB1"", ""THBS1"", ""DNAJB4"", ""IER5"", ""HSPA1A"", ""BAG3"", ""HSPA1B"", ""TFEC"", ""PTGS2"", ""HSPA6"")"
"16","GOBP_NCRNA_METABOLIC_PROCESS","0.000515803584217622","0.0136734841052599","0.477270815362862","-0.564882386140495","-1.90071047257582","39","c(""FOS"", ""KLF4"", ""JUN"", ""MYC"", ""KCNQ1OT1"", ""EIF4A3"", ""NEAT1"", ""FOXO3"", ""BMP2"", ""IL6"", ""NFKB1"", ""SNAPC1"")"
"17","GOBP_REGULATION_OF_MIRNA_TRANSCRIPTION","0.000528342665566459","0.013755778685641","0.477270815362862","-0.685831088147988","-1.88948817270355","18","c(""FOS"", ""KLF4"", ""JUN"", ""MYC"", ""FOXO3"", ""BMP2"")"
"18","GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II","1.45786636338233e-05","0.00106278457890572","0.593325476396405","-0.441154320617443","-1.88520360422911","133","c(""FOSB"", ""NR4A2"", ""ZFP36"", ""KLF4"", ""MAFF"", ""JUN"", ""JUND"", ""MYC"", ""CEBPB"", ""ETS2"", ""HES1"", ""DNAJB1"", ""KLF10"", ""DDIT3"", ""DNAJB4"", ""ID1"", ""FOXO3"", ""PAWR"", ""ERF"", ""BMP2"", ""HSPA1A"", ""ZFHX3"", ""PKIG"", ""LMO4"", ""BAG3"", ""TFEC"", ""CAV1"", ""NFKB1"", ""NR2F2"", ""PLK1"", ""ID4"", ""FOXC1"", ""WWTR1"", ""ID3"", ""ZEB2"", ""KLF11"", ""NOTCH3"", ""MSX1"", ""BHLHE40"")"
"19","GOBP_VASCULOGENESIS","0.00106066755654608","0.0208980175330295","0.45505986738723","-0.611823593835894","-1.88377416686899","29","c(""JUNB"", ""ZFP36L1"", ""TIPARP"", ""ENG"", ""ADM"", ""CAV1"", ""EGFL7"", ""TGFBR3"", ""CD34"", ""SOX18"", ""NTRK2"", ""ACKR3"", ""PDGFRB"", ""RAPGEF2"", ""RRAS"", ""EPHA2"", ""TIE1"", ""HEG1"", ""RAMP2"", ""HEY1"", ""SOX17"", ""NOTCH1"", ""GJC1"")"
