0,Mrpl15
1,St18
2,Rrs1
3,Snhg6
4,Ppp1r42
5,Cops5
6,Slco5a1
7,Terf1
8,Tceb1
9,Mcm3
10,Khdc1a
11,Ogfrl1
12,Ptp4a1
13,Prim2
14,Bag2
15,Dst
16,Imp4
17,Gm37335
18,Neurl3
19,Arid5a
20,Cox5b
21,Tmem131
22,Mgat4a
23,Eif5b
24,Rev1
25,Gm37707
26,Rpl31
27,Tbc1d8
28,Rnf149
29,Il1r2
30,Gm16894
31,Il1r1
32,Il1rl1
33,Il18r1
34,Il18rap
35,Gpr45
36,Fhl2
37,Nck2
38,Uxs1
39,Gm8251
40,Tex30
41,Wdr75
42,Slc40a1
43,Slc39a10
44,Gm28826
45,C230029F24Rik
46,1700072G22Rik
47,Myo1b
48,Stat4
49,Stat1
50,Nab1
51,Mfsd6
52,Pms1
53,Hecw2
54,Ankrd44
55,Hspd1
56,Hspe1
57,Spats2l
58,Sgol2a
59,Orc2
60,Tmem237
61,Mpp4
62,Gm29017
63,Als2
64,Nop58
65,Wdr12
66,Carf
67,Abi2
68,Raph1
69,Cd28
70,Gm11579
71,Ctla4
72,Icos
73,Nrp2
74,Gm4208
75,Ndufs1
76,Eef1b2
77,Adam23
78,Fastkd2
79,Map2
80,Acadl
81,Myl1
82,Ikzf2
83,Spag16
84,Bard1
85,Atic
86,Mreg
87,Xrcc5
88,Tns1
89,Cxcr2
90,Catip
91,Slc11a1
92,Vil1
93,Usp37
94,Rqcd1
95,Cyp27a1
96,Wnt6
97,Wnt10a
98,Tuba4a
99,Farsb
100,Acsl3
101,Utp14b
102,Serpine2
103,Irs1
104,Agfg1
105,Pid1
106,Sp110
107,Sp140
108,Sp100
109,2810459M11Rik
110,Psmd1
111,Gm16341
112,B3gnt7
113,Ncl
114,1700019O17Rik
115,Ptma
116,Nppc
117,Sag
118,Hjurp
119,Arl4c
120,Gbx2
121,Rbm44
122,Ube2f
123,Hdac4
124,Ndufa10
125,Gm29480
126,Ankmy1
127,Gpr35
128,Kif1a
129,Pask
130,Ppp1r7
131,Ano7
132,Hdlbp
133,Sept2
134,Bok
135,Dtymk
136,Ing5
137,Pdcd1
138,St8sia4
139,D1Ertd622e
140,Gm7967
141,Gm28187
142,Tnfrsf11a
143,Zcchc2
144,Bcl2
145,Serpinb8
146,Nifk
147,Tfcp2l1
148,Dbi
149,Steap3
150,Ddx18
151,Lypd1
152,Tmem163
153,Zranb3
154,Mcm6
155,Dars
156,Cxcr4
157,Thsd7b
158,Cd55
159,Gm28857
160,Fcmr
161,Srgap2
162,Fam72a
163,Ctse
164,Rab7b
165,Nucks1
166,Elk4
167,Nuak2
168,Tmcc2
169,Sox13
170,Snrpe
171,Lax1
172,Atp2b4
173,Chil1
174,Ppfia4
175,Ube2t
176,Lgr6
177,Rnpep
178,Timm17a
179,Ipo9
180,Nav1
181,Csrp1
182,Phlda3
183,Tnni1
184,Lad1
185,Tnnt2
186,Cacna1s
187,Gm37552
188,Kif14
189,Ptprc
190,2310009B15Rik
191,Aspm
192,Cfh
193,Uchl5
194,Rgs2
195,Rgs1
196,Rgs18
197,Pla2g4a
198,Prg4
199,Ivns1abp
200,Fam129a
201,1700025G04Rik
202,Tsen15
203,Rgl1
204,Ncf2
205,Dhx9
206,Rgs16
207,Glul
208,Cacna1e
209,Ier5
210,Tdrd5
211,Gm2000
212,Tor3a
213,Sec16b
214,Mrps14
215,Cacybp
216,Dars2
217,Cenpl
218,Tnfsf4
219,Fasl
220,Dnm3os
221,Mettl13
222,Kifap3
223,BC055324
224,Sell
225,Selp
226,F5
227,Ccdc181
228,Xcl1
229,Adcy10
230,Creg1
231,Cd247
232,Pou2f1
233,Uck2
234,Aldh9a1
235,Pbx1
236,Nuf2
237,Uap1
238,Sh2d1b1
239,Atf6
240,Fcrla
241,Fcgr2b
242,Fcgr4
243,Fcgr3
244,Sdhc
245,Mpz
246,Fcer1g
247,Gm20045
248,Pvrl4
249,F11r
250,B930036N10Rik
251,Cd244
252,Slamf7
253,Cd48
254,Slamf1
255,Gm37065
256,Slamf6
257,Igsf8
258,Kcnj10
259,Slamf9
260,Tagln2
261,Slamf8
262,Cadm3
263,Aim2
264,Gm4955
265,BC094916
266,Pydc4
267,Pyhin1
268,Pydc3
269,AI607873
270,Ifi204
271,Mndal
272,Mnda
273,Ifi203
274,Ifi205
275,Fh1
276,Kmo
277,Chml
278,Exo1
279,Gm15423
280,Adss
281,Hnrnpu
282,Cdc42bpa
283,Gm37336
284,Psen2
285,Parp1
286,Lin9
287,H3f3a
288,Pycr2
289,Ephx1
290,Cnih4
291,Lbr
292,Dusp10
293,Hlx
294,Marc1
295,Eprs
296,Tgfb2
297,Rrp15
298,Spata17
299,Cenpf
300,Ptpn14
301,Smyd2
302,Prox1
303,Nsl1
304,Batf3
305,Atf3
306,Nenf
307,Dtl
308,Ints7
309,Lpgat1
310,Nek2
311,Traf5
312,Sertad4
313,G0s2
314,Plxna2
315,Cd34
316,Cr2
317,Nmt2
318,Rpp38
319,Suv39h2
320,Hspa14
321,Frmd4a
322,Gm13179
323,Sephs1
324,Mcm10
325,Cdc123
326,Nudt5
327,Proser2
328,Gm13383
329,Gm13391
330,Gata3
331,Taf3
332,Atp5c1
333,Itih5
334,Pfkfb3
335,Rbm17
336,Il2ra
337,Il15ra
338,C1ql3
