,normalized_mutual_info,adjusted_rand_index,fowlkes_mallows
0.1,0.5099595395453557,0.32181043002330806,0.48198522996339566
0.2,0.548907019188,0.44108341691928066,0.5168541407044303
0.3,0.5857815666759357,0.4723648369025635,0.5391344062715111
0.4,0.5716757229205294,0.3806918997275135,0.44861965874938237
0.5,0.5753147310889992,0.3917342566822822,0.4584078723380765
0.6,0.5770575327531179,0.4002747492365572,0.46150290571072455
0.7,0.5609275802784234,0.3812211793336411,0.44422314087585213
0.7999999999999999,0.5618630062969343,0.3790342491295612,0.44232322127198026
0.8999999999999999,0.5649191279221247,0.3908874576173725,0.45462882769830065
0.9999999999999999,0.5716318282222086,0.3938501037465203,0.4593317584333476
1.0999999999999999,0.5695895139189683,0.39112115931163366,0.45705538858644296
1.2,0.5711241548310633,0.39398816781216545,0.4609800945489738
1.3,0.5734315818974898,0.38323425811952366,0.45309614132886045
1.4,0.5635710964116699,0.37403092627271106,0.4437355041955915
1.5,0.5662468617595767,0.3754903818225834,0.4454986851714916
1.5999999999999999,0.5574958778775755,0.33813014274970654,0.4144114325538831
1.7,0.560389884038157,0.33937650375419265,0.417299779674857
1.8,0.5617056764314867,0.3407924627621672,0.4185885770689915
1.9,0.5555605643789392,0.32926156176896076,0.4096476562742703
2.0,0.5616306327601502,0.3267117602324222,0.4072918389592474
