,1,2,3,4,5,6,7,8
0,Rpl15,Arpp21,Isg15,Srm,Rpl38,Fabp7,2810417H13Rik,Ube2c
1,Eef1a1,Dntt,Ms4a4b,Nme1,Rps28,Stc2,Stmn1,Hmgb2
2,Gapdh,Cd8a,Rps5,Npm1,Rpl39,Igf2,Tyms,Birc5
3,Amd1,Cd8b1,H2-K1,Mif,Rpl37,Wdr93,H2afz,Tubb4b
4,Rpl35,Satb1,Klf2,Eif5a,Cbx3,Spatc1l,Dut,H2afx
5,Rplp1,Aqp11,Rpsa,C1qbp,Atp5k,Gm19434,Slbp,Cks2
6,Rpl41,Mier1,Trac,Rps2,Rpl6,Kcnk1,Hist1h2ap,Cenpa
7,Rpl36,Endou,Rtp4,Hsp90ab1,Ddx21,Rai14,Hist1h1b,Cenpf
8,Rpl29,Rag1,Trbc1,Nhp2,Pabpc1,Ncr1,Rrm2,Cdc20
9,Rps7,Gtf2h4,Rpl17,Hspd1,Hnrnpm,Cd300lg,Ptma,Cdk1
10,Gstp1,Rgcc,Trbc2,Atp5g1,Rpl41,Clec4b2,Dek,Hist1h2ap
11,Rplp0,Themis,Ifit1,Mrto4,Eif2s2,Plk5,Atad2,Cdca8
12,Rps6,H3f3a,Ifi27l2a,Hspe1,Rps26,Htra3,Pcna,Nusap1
13,Rpl10,Tcf12,Bst2,Mettl1,Rpl36a,1700113H08Rik,Mcm5,Top2a
14,Tuba1a,Rpl19,Ifi203,Eif4a1,Serbp1,A530099J19Rik,Samd1,H2afz
15,Eif4a1,Sh2d1a,Irf7,Gnl3,Cox7c,Gng13,Mcm3,Tuba1b
16,Gm10076,Sox4,Rpl13,Rpl14,Naa15,Fgd5,Gmnn,Mki67
17,H3f3a,Ctsl,Rpl18a,Fbl,B930036N10Rik,Il23r,Asf1b,Tpx2
18,Ubb,Tcf7,Zbp1,Ncl,Rps15,Cav2,Fbxo5,Tuba1c
19,Pkm,Ly6d,Plac8,Pa2g4,Rps17,Cpn1,Tubb5,Cdca3
20,Rps4x,Mxd4,Rps3,Ranbp1,Tuba1b,Gm43729,Hist1h2ae,Prc1
21,Pgk1,Thy1,Rpl18,Apex1,Top2a,Adamtsl3,Lig1,Ube2s
22,Gm10020,Dgkeos,Ms4a6b,Gar1,Mcm7,Lpar3,Mcm6,Ccnb1
23,Rpl9,Klf13,Rpl10,Ran,Ncl,Gbx2,Hist1h1e,Cenpe
24,Rps23,Ap3s1,Rpl21,Hspa9,Snhg9,Gm42601,Clspn,Hmmr
25,Sap18,Hmgb1,Gimap4,Rsl1d1,Atp5e,Klri2,Tuba1b,Stmn1
